ip,domain_1,domain_2,domain_3,domain_4,domain_5,domain_6,domain_7,domain_8,domain_9,domain_10,domain_11,domain_12,domain_13,domain_14,domain_15,domain_16,domain_17,domain_18,domain_19,domain_20,domain_21,domain_22,domain_23,domain_24,domain_25,domain_26,domain_27,domain_28,domain_29,domain_30,domain_31,domain_32,domain_33,domain_34,domain_35,domain_36,domain_37,domain_38,domain_39,domain_40,domain_41,domain_42,domain_43,domain_44,domain_45,domain_46,domain_47,domain_48,domain_49,domain_50,domain_51,domain_52,domain_53,domain_54,domain_55,domain_56,domain_57,domain_58,domain_59,domain_60,domain_61,domain_62,domain_63,domain_64,domain_65,domain_66,domain_67,domain_68,domain_69,domain_70,domain_71,domain_72,domain_73,domain_74,domain_75,domain_76,domain_77,domain_78,domain_79,domain_80,domain_81,domain_82,domain_83,domain_84,domain_85,domain_86,domain_87,domain_88,domain_89,domain_90,domain_91,domain_92,domain_93,domain_94,domain_95,domain_96,domain_97,domain_98,domain_99,domain_100,domain_101,domain_102,domain_103,domain_104,domain_105,domain_106,domain_107,domain_108,domain_109,domain_110,domain_111,domain_112,domain_113,domain_114,domain_115,domain_116,domain_117,domain_118,domain_119,domain_120,domain_121,domain_122,domain_123,domain_124,domain_125,domain_126,domain_127,domain_128,domain_129,domain_130,domain_131,domain_132,domain_133,domain_134,domain_135,domain_136,domain_137,domain_138,domain_139,domain_140,domain_141,domain_142,domain_143,domain_144,domain_145,domain_146,domain_147,domain_148,domain_149,domain_150,domain_151,domain_152,domain_153,domain_154,domain_155,domain_156,domain_157,domain_158,domain_159,domain_160,domain_161,domain_162,domain_163,domain_164,domain_165,domain_166,domain_167,domain_168,domain_169,domain_170,domain_171,domain_172,domain_173,domain_174,domain_175,domain_176,domain_177,domain_178,domain_179,domain_180,domain_181,domain_182,domain_183,domain_184,domain_185,domain_186,domain_187,domain_188,domain_189,domain_190,domain_191,domain_192,domain_193,domain_194,domain_195,domain_196,domain_197,domain_198,domain_199,domain_200,domain_201,domain_202,domain_203,domain_204,domain_205,domain_206,domain_207,domain_208,domain_209,domain_210,domain_211
encuesta.universita.usach.cl.,encuesta_universita.usach.cl
formulario.usach.cl.,www.formulario.usach.cl
guiaweb.usach.cl.,www.guiaweb.usach.cl
dti.usach.cl.,www.dti.usach.cl
cambalache.usach.cl.,www.cambalache.usach.cl
dimec.usach.cl.,www.dimec.usach.cl
sistemaoirs.usach.cl.,www.sistemaoirs.usach.cl
isidoraaguirre.usach.cl.,www.isidoraaguirre.usach.cl
pefft.usach.cl.,www.pefft.usach.cl
cteo.usach.cl.,www.cteo.usach.cl
direcciondegenero.usach.cl.,www.direcciondegenero.usach.cl
158.170.66.19,sgd.fahu.usach.cl,themis.space.usach.cl
lemc.usach.cl.,www.lemc.usach.cl
dtg.usach.cl.,www.dtg.usach.cl
158.170.10.247,qaplaneacionra.usach.cl
solicitudes.ciencia.usach.cl.,www.solicitudes.ciencia.usach.cl
ecdp.die.usach.cl.,www.ecdp.die.usach.cl
76.76.21.9,www.recursosaprendizajecastellano.usach.cl
diq.usach.cl.,www.diq.usach.cl
158.170.66.14,deai.usach.cl,dps.usach.cl,ecamp.usach.cl,ffroemel.usach.cl,fude.usach.cl,informaticos.usach.cl,www.dps.usach.cl,www.fude.usach.cl,www.informaticos.usach.cl,www.ups.udesantiago.cl
fourier.usach.cl.,doctmat.usach.cl,geogebra.usach.cl
158.170.64.242,rahue.usach.cl
archivodga.usach.cl.,www.archivodga.usach.cl
test.helpdesk.usach.cl.,www.test.helpdesk.usach.cl
encuestas.usach.cl.,www.encuestas.usach.cl
informaticos.usach.cl.,www.informaticos.usach.cl
172.67.164.52,contraloriausach.cl,www.contraloriausach.cl
pace.usach.cl.,www.pace.usach.cl
vicaviged.usach.cl.,www.vicaviged.usach.cl
pagaredearancel.usach.cl.,www.pagaredearancel.usach.cl
158.170.10.51,helpdesk.segic.cl,requerimientos.usach.cl,www.helpdesk.segic.cl,www.requerimientos.usach.cl
matricula-ibero.usach.cl.,www.matricula-ibero.usach.cl
158.170.10.53,truenas.segic.cl
www.segic.cl.,transparencia.segic.cl
solicitudinformacion.usach.cl.,www.solicitudinformacion.usach.cl
158.170.11.16,dev.cdfing.usach.cl
158.170.10.58,baker.usach.cl
158.170.66.176,consultaelectoral.usach.cl,cursoinvierno.usach.cl,debate.usach.cl,encuestadocente.usach.cl,encuestasuseso.usach.cl,inscripcioncandidaturas.usach.cl,micredencial.usach.cl
158.170.11.12,dev.fing.usach.cl
158.170.66.170,dev2.sai.usach.cl,dev-back2.sai.usach.cl,dev-back.sai.usach.cl,dev.sai.usach.cl,sai.fing-gestion.usach.cl,sai.fing.usach.cl
158.170.11.13,dev2.fing.usach.cl,sasdev2.fing.usach.cl
158.170.11.10,siga.fing.usach.cl
www.fing.usach.cl.,fing.usach.cl
fcm.usach.cl.,www.fcm.usach.cl
doctmat.dmcc.usach.cl.,www.doctmat.dmcc.usach.cl
ceusllanquihue.usach.cl.,www.ceusllanquihue.usach.cl
vime.arquitectura.usach.cl.,www.vime.arquitectura.usach.cl
sis-bienestar.usach.cl.,www.sis-bienestar.usach.cl
charlas2021.usach.cl.,www.charlas2021.usach.cl
acreditacion.usach.cl.,www.acreditacion.usach.cl
tuaqf.usach.cl.,www.tuaqf.usach.cl
magister.dmcc.usach.cl.,www.magister.dmcc.usach.cl
162.240.146.170,educofacimed.usach.cl,www.educofacimed.usach.cl
fude.usach.cl.,www.fude.usach.cl
virtualizacionqyb.usach.cl.,www.virtualizacionqyb.usach.cl
fae.usach.cl.,www.fae.usach.cl
mem.dmcc.usach.cl.,www.mem.dmcc.usach.cl
helpdesk.segic.cl.,www.helpdesk.segic.cl
158.170.68.85,dspace.usach.cl,sgd.usach.cl
mastermida.usach.cl.,www.mastermida.usach.cl
158.170.68.87,activofijo.usach.cl,adminnpm68.usach.cl,erp.usach.cl,portainer-68.88.usach.cl
158.170.68.86,firmaclaveunica.usach.cl,servicios-firma.usach.cl
158.170.68.81,firmausach-dev.usach.cl
tecnologias.usach.cl.,www.tecnologias.usach.cl
cipp.usach.cl.,www.cipp.usach.cl
cachorro2017.usach.cl.,www.cachorro2017.usach.cl
gloriacardenasjiron.usach.cl.,www.gloriacardenasjiron.usach.cl
52.7.225.133,cides.usach.cl,www.cides.usach.cl
loa.usach.cl.,www.loa.usach.cl
eciades.usach.cl.,www.eciades.usach.cl
economia.usach.cl.,www.economia.usach.cl
patrimonio.usach.cl.,www.patrimonio.usach.cl
nomasviolencia.usach.cl.,www.nomasviolencia.usach.cl
portalfisicaeducativa.usach.cl.,www.portalfisicaeducativa.usach.cl
educo.usach.cl.,www.educo.usach.cl
158.170.10.193,adminnpm.usach.cl,checkmk.usach.cl,consola.usach.cl,cuentas2.segic.cl,cuentas2.usach.cl,cuentas-test.segic.cl,deploy.usach.cl,login.dei.usach.cl,oauth.prd.usach.cl
fahu.usach.cl.,www.fahu.usach.cl
endfisica.usach.cl.,www.endfisica.usach.cl
158.170.66.201,atiende.usach.cl
158.170.66.200,nanoseguridad.usach.cl,www.nanoseguridad.usach.cl
158.170.66.207,arquitecturacontemporaneaentierra.usach.cl,capacitacion.usach.cl,cipp.usach.cl,diplomadorecursoshidricos.usach.cl,economiacircular.usach.cl,empresasyfundaciones.usach.cl,www.arquitecturacontemporaneaentierra.usach.cl,www.capacitacion.usach.cl,www.cipp.usach.cl,www.diplomadorecursoshidricos.usach.cl,www.economiacircular.usach.cl,www.empresasyfundaciones.usach.cl
evaluaciondocente.usach.cl.,www.evaluaciondocente.usach.cl
empresasyfundaciones.usach.cl.,www.empresasyfundaciones.usach.cl
158.170.66.209,solicitudes.ciencia.usach.cl,www.solicitudes.ciencia.usach.cl
158.170.66.208,algebra1.dmcc.usach.cl,algebra2.dmcc.usach.cl,calculo1.dmcc.usach.cl,calculo2.dmcc.usach.cl,calculo3.dmcc.usach.cl,diplomadoestadistica.usach.cl,doctmat.usach.cl,ecuacionesymetodos.dmcc.usach.cl,ecuadif.dmcc.usach.cl,fourier.usach.cl,gafevol.usach.cl,geogebra.usach.cl,gepeci.usach.cl,metodosnumericos.dmcc.usach.cl,netlizama.usach.cl,www.diplomadoestadistica.usach.cl,www.gafevol.usach.cl
internacional.usach.cl.,www.internacional.usach.cl
158.170.64.38,servicioswebdev.segic.cl
revistas.usach.cl.,www.revistas.usach.cl
158.170.35.2,russan.diinf.usach.cl
cambioporvocacion.usach.cl.,www.cambioporvocacion.usach.cl
158.170.35.8,array.diinf.usach.cl,array.informatica.usach.cl,biomedica.diinf.usach.cl,biomedica.informatica.usach.cl,dagobah.diinf.usach.cl,evic2018.diinf.usach.cl,evic2018.informatica.usach.cl,evic2018.usach.cl,evic.diinf.usach.cl,evic.informatica.usach.cl,leomedina.diinf.usach.cl,leomedina.informatica.usach.cl,mo.diinf.usach.cl,mo.informatica.usach.cl,motions.diinf.usach.cl,motions.informatica.usach.cl,neuroeng.diinf.usach.cl,neuroeng.informatica.usach.cl,rgonzalez.diinf.usach.cl,rgonzalez.informatica.usach.cl,starejs.diinf.usach.cl,starejs.informatica.usach.cl,ups01.diinf.usach.cl,ups02.diinf.usach.cl,ups03.diinf.usach.cl,vchang.diinf.usach.cl,vchang.informatica.usach.cl,www.evic2018.usach.cl
psicologia.usach.cl.,www.psicologia.usach.cl
158.170.64.33,fondocredito.usach.cl,mauchin.usach.cl,sishelen.usach.cl,www.fondocredito.usach.cl
158.170.64.35,git.segic.cl,postergacionmatricula.usach.cl,serviciosweb.usach.cl
vrae.usach.cl.,www.vrae.usach.cl
carreras.usach.cl.,www.carreras.usach.cl
158.170.68.29,raora2.sai.usach.cl,raora.sai.usach.cl
158.170.66.128,citiaps.usach.cl,emergencias.citiaps.usach.cl,emergencias.usach.cl,innovadiinf.usach.cl,mundosenior.citiaps.usach.cl,mundosenior.usach.cl,observatorios.citiaps.usach.cl,observatorios.usach.cl,proyectos.citiaps.usach.cl,sitiosweb.usach.cl,www.citiaps.usach.cl
cye.usach.cl.,www.cye.usach.cl
ciet.usach.cl.,www.ciet.usach.cl
158.170.68.28,cdfae-test.usach.cl,www.cdfae-test.usach.cl
158.170.68.26,dgdedenuncias.usach.cl
capamoodle.segic.cl.,www.capamoodle.segic.cl
158.170.66.122,bkd.ayllu.citiaps.usach.cl
158.170.68.22,ora.sai.usach.cl
158.170.66.123,fahu2.usach.cl,fahu.usach.cl,www.fahu.usach.cl
158.170.66.120,voluntarios.pybosa.citiaps.usach.cl
158.170.64.67,pei2030.usach.cl,www.pei2030.usach.cl
158.170.64.66,calidad.usach.cl,usachteapoya.usach.cl,www.calidad.usach.cl,www.usachteapoya.usach.cl
158.170.64.65,gestion2030.usach.cl,www.gestion2030.usach.cl
158.170.64.64,encuesta2030.usach.cl,pagos.usach.cl,www.encuesta2030.usach.cl,www.pagos.usach.cl
190.107.177.247,admisiondimec.usach.cl,www.admisiondimec.usach.cl
niif-ifrs.usach.cl.,www.niif-ifrs.usach.cl
190.107.177.242,publicidad.usach.cl,www.publicidad.usach.cl
campusseguro.usach.cl.,www.campusseguro.usach.cl
tips2021.usach.cl.,www.tips2021.usach.cl
dimectst.usach.cl.,www.dimectst.usach.cl
158.170.64.68,acreditacionpostgrado.usach.cl
